lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,rep_meanings,extra_candidates
sunny,sunny#4600 | Sunny#36233,,sunny,4600,36233,햇살의 / 맑은 / 화창한 / 햇볕이 나는 / 쨍쨍한 / 밝은,"[{""mid"": 98672, ""text"": ""햇빛이  반짝이는""}]"
swipe,swipe#6519 | swipe#52171,,swipe,6519,52171,강타 / 훔치다 / 밀다 / 카드를 긋다,"[{""mid"": 133754, ""text"": ""( 카드를) 판독기에 대다""}]"
tad,tad#12001 | Tad#50208,Y,Tad,50208,12001,이름,"[{""mid"": 39062, ""text"": ""조금""}, {""mid"": 39063, ""text"": ""약간""}, {""mid"": 39064, ""text"": ""꼬마""}]"
taiwanese,taiwanese#34729 | Taiwanese#36609,,taiwanese,34729,36609,대만어 / 대만 사람 / 대만의,"[{""mid"": 99520, ""text"": ""대만 언어""}]"
taxis,Taxis#27759 | taxis#49415,,taxis,49415,27759,「배열」 「주성」의 뜻 / 순서 / 계통적 배열,"[{""mid"": 80804, ""text"": ""택시""}]"
taylor,taylor#29051 | Taylor#50181,Y,Taylor,50181,29051,이름,"[{""mid"": 83678, ""text"": ""테일러""}, {""mid"": 83679, ""text"": ""영국의 수학자""}]"
tedious,tedious#8681 | Tedious#50353,,tedious,8681,50353,진부한 / 장황한 / 지루한,"[{""mid"": 128309, ""text"": ""말수가 많은""}]"
theoretical,theoretical#2379 | theoretical#51978,,theoretical,2379,51978,이론상의,"[{""mid"": 133470, ""text"": ""이론적인""}]"
thomas,thomas#28451 | Thomas#49971,Y,Thomas,49971,28451,이름,"[{""mid"": 82244, ""text"": ""성 토마""}, {""mid"": 82245, ""text"": ""…을 성희롱 혐의로 고발하다""}]"
tibetan,tibetan#25155 | Tibetan#36606,,tibetan,25155,36606,티베트인의 / 티베트인 / 티베트의,"[{""mid"": 99515, ""text"": ""티벳 사람""}, {""mid"": 99516, ""text"": ""티벳 언어""}]"
tiresome,tiresome#14647 | TIRESOME#44500,,tiresome,14647,44500,피곤한 / 지겨운,"[{""mid"": 116501, ""text"": ""지루한""}, {""mid"": 116502, ""text"": ""넌더리나는""}, {""mid"": 116503, ""text"": ""싫증나는""}]"
titan,titan#26403 | Titan#50471,,titan,26403,50471,거인 / 티탄 / 헬리오스 / 「티탄」의 뜻,"[{""mid"": 128515, ""text"": ""타이탄 (토성의 위성)""}]"
tom,tom#5298 | Tom#49387,Y,Tom,49387,5298,톰 / 이름,"[{""mid"": 19147, ""text"": ""수고양이""}, {""mid"": 19149, ""text"": ""백인에게 굽실거리다""}]"
tortilla,tortilla#5878 | Tortilla#35672,,tortilla,5878,35672,토르티아 / 토르티야,"[{""mid"": 97592, ""text"": ""또르띠아""}]"
transform,transform#1710 | transform#52360 | transform#52417,,transform,1710,"52360,52417",바꾸어 놓다 / 변형시키다 / 변모시키다 / 전환하다 / 만들다 / 변화시키다,"[{""mid"": 134031, ""text"": ""바꾸다""}, {""mid"": 134142, ""text"": ""완전히 바꾸다""}]"
trap,trap#1446 | Trap#49888,,trap,1446,49888,잡다 / 덫 / 함정 / 가두다 / 빨아들이다 / 과속 감시 장치,"[{""mid"": 127603, ""text"": ""트랩""}]"
treatment,treatment#3337 | Treatment#29820,,treatment,3337,29820,처리 / 관리 / 대우 / 처치 / 치료,"[{""mid"": 85226, ""text"": ""처지""}]"
trey,trey#10069 | Trey#50126,Y,Trey,50126,10069,이름,"[{""mid"": 33176, ""text"": ""3개 한 벌""}, {""mid"": 33177, ""text"": ""3펜스 화폐""}]"
trimming,Trimming#28029 | trimming#30782,,trimming,30782,28029,깎아 다듬기 / 정돈 / 손질,"[{""mid"": 81282, ""text"": ""트리밍[다듬는 공정""}]"
trouble,trouble#745 | Trouble#48227,,trouble,745,48227,문제 / 곤란 / 말썽 / 고생 / 고통 / 어려움,"[{""mid"": 124275, ""text"": ""걱정거리""}]"
truncate,truncate#18919 | Truncate#33005,,truncate,18919,33005,끝을 자르다 / 일부를 생략하여 줄이다 / 꼭대기를 자르다,"[{""mid"": 91882, ""text"": ""상부를 자르다""}, {""mid"": 91884, ""text"": ""끝을 자른""}]"
tuesday,tuesday#4968 | Tuesday#31979,,tuesday,4968,31979,화요일,"[{""mid"": 112788, ""text"": ""목요일""}]"
turkey,turkey#4549 | Turkey#49948,,turkey,4549,49948,튀르키예 / 칠면조,"[{""mid"": 127717, ""text"": ""터키""}]"
uncovered,uncovered#20969 | Uncovered#29855,,uncovered,20969,29855,모자를 벗은 / 폭로된 / 무담보의,"[{""mid"": 85261, ""text"": ""알아내다""}]"
undaunted,undaunted#8975 | Undaunted#48569,,undaunted,8975,48569,용감한 / 두려워하지 않는 / 굽히지 않는,"[{""mid"": 124832, ""text"": ""당당한""}]"
unless,unless#675 | Unless#45593,,unless,675,45593,~하지 않으면 / …하지 않는다면 / 제외하면 / …한다면 모를까,"[{""mid"": 118779, ""text"": ""~하지 않는 한""}]"
unsatisfied,Unsatisfied#29857 | unsatisfied#40875,Y,Unsatisfied,29857,40875,불만스러운,"[{""mid"": 108926, ""text"": ""만족되지 않은""}, {""mid"": 108927, ""text"": ""만족하고 있지 않은""}]"
venule,venule#44459 | Venule#44536,,venule,44459,44536,작은 날개맥 / 세정맥 / 작은 맥 / 작은 정맥,"[{""mid"": 116665, ""text"": ""소정맥""}]"
verify,verify#6687 | verify#52379,,verify,6687,52379,확인하다,"[{""mid"": 134069, ""text"": ""입증하다""}]"
vindicate,vindicate#11644 | Vindicate#32998,,vindicate,11644,32998,…을 변호하다 / 옹호하다 / 오해를 풀다 / 변호하다 / 비난을 풀다 / …의 정당성을 입증하다,"[{""mid"": 91862, ""text"": ""옳음을 밝히다""}, {""mid"": 91863, ""text"": ""회복하다""}]"
wafer,wafer#26254 | Wafer#43491,,wafer,26254,43491,면병 / 웨이퍼 / …을 봉하다,"[{""mid"": 114566, ""text"": ""얇고 딱딱한 과자""}, {""mid"": 114567, ""text"": ""약한 것을 총칭""}]"
wanted,wanted#10834 | Wanted#31262,,wanted,10834,31262,희망했다 / 하고자 / 싶었다 / 구인모집 / 원했다 / 바랐다,"[{""mid"": 87939, ""text"": ""구인광고""}, {""mid"": 87940, ""text"": ""사람을 구함""}]"
washington,washington#17199 | Washington#29919,,washington,17199,29919,워싱턴 주 / 워싱턴 / 미국 정부 / 워싱턴 호,"[{""mid"": 127709, ""text"": ""워싱톤""}]"
watchdog,watchdog#4057 | Watchdog#30392,,watchdog,4057,30392,감시 단체,"[{""mid"": 86024, ""text"": ""① 감시인 ② 감시견 ③ 파수꾼""}]"
western,western#1800 | Western#36590,,western,1800,36590,서양의 / 서부의 / 서쪽의,"[{""mid"": 99493, ""text"": ""서쪽에 위치한""}]"
whereas,whereas#4860 | Whereas#45594,,whereas,4860,45594,…인데도 / ~인 반면에 / 서문 / …임에 비하여 / ~라는 사실에 비추어 / ~한 사실이 있으므로,"[{""mid"": 118780, ""text"": ""~임에 반해서""}]"
while,while#3294 | While#45603,,while,3294,45603,…하면서 / ~하는 동안 / …에 반하여 / 동시에 / 잠시 / …동안에,"[{""mid"": 118802, ""text"": ""~하는 한""}]"
william,william#37557 | William#49963,Y,William,49963,37557,이름,"[{""mid"": 101471, ""text"": ""윌리엄""}, {""mid"": 101472, ""text"": ""지폐""}]"
worth,worth#626 | Worth#29812,,worth,626,29812,재산 / …할 만한 / 가치있는 / …어치 / ..의 값어치가 있다 / ...할 가치가 있다 / 가치 있는 / 중요성,"[{""mid"": 85218, ""text"": ""가치가있는""}]"
yield,yield#1915 | yield#52475,,yield,1915,52475,수확량 / 이윤율 / 수확 / 산출하다 / 포기하다 / 항복 / 수율 / 생산하다 / 양보하다 / 양보 / 수익률,"[{""mid"": 134254, ""text"": ""굴복하다""}]"
